Model type,C,neg,mode,K,adjIA,R,ss,s,IntType
glv,0.4,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.4,50,3,50,FALSE,100,0.8,100,random
glv,0.4,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.4,0,3,50,FALSE,100,0.8,100,random
glv,0.4,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.4,100,3,50,FALSE,100,0.8,100,random
glv,0.5,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.5,50,3,50,FALSE,100,0.8,100,random
glv,0.5,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.5,0,3,50,FALSE,100,0.8,100,random
glv,0.5,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.5,100,3,50,FALSE,100,0.8,100,random
glv,0.6,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.6,50,3,50,FALSE,100,0.8,100,random
glv,0.6,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.6,0,3,50,FALSE,100,0.8,100,random
glv,0.6,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.6,100,3,50,FALSE,100,0.8,100,random
glv,0.7,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.7,50,3,50,FALSE,100,0.8,100,random
glv,0.7,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.7,0,3,50,FALSE,100,0.8,100,random
glv,0.7,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.7,100,3,50,FALSE,100,0.8,100,random
